"1024196096","1024196607","TH","THA","THAILAND"
"1024196608","1024262143","AU","AUS","AUSTRALIA"
"1024262144","1024327679","TW","TWN","TAIWAN"
"1024327680","1024336391","US","USA","UNITED STATES"
"1024336392","1024336399","TW","TWN","TAIWAN"
"1024336400","1024336415","PH","PHL","PHILIPPINES"
"1024336416","1024336431","JP","JPN","JAPAN"
"1024336432","1024336463","US","USA","UNITED STATES"
"1024336464","1024336471","HK","HKG","HONG KONG"
"1024336472","1024336479","SG","SGP","SINGAPORE"
"1024336480","1024336511","HK","HKG","HONG KONG"
"1024336512","1024336543","ID","IDN","INDONESIA"
"1024336544","1024336559","TH","THA","THAILAND"
"1024336560","1024336575","SG","SGP","SINGAPORE"
"1024336576","1024336583","JP","JPN","JAPAN"
"1024336584","1024336591","TW","TWN","TAIWAN"
"1024336592","1024336599","ID","IDN","INDONESIA"
"1024336600","1024336607","US","USA","UNITED STATES"
"1024336608","1024336623","TW","TWN","TAIWAN"
"1024336624","1024336631","TH","THA","THAILAND"
"1024336632","1024336639","ID","IDN","INDONESIA"
"1024336640","1024336647","MY","MYS","MALAYSIA"
"1024336648","1024336655","KR","KOR","REPUBLIC OF KOREA"
"1024336656","1024336663","PH","PHL","PHILIPPINES"
"1024336664","1024336671","KR","KOR","REPUBLIC OF KOREA"
"1024336672","1024336679","TW","TWN","TAIWAN"
"1024336680","1024336687","NZ","NZL","NEW ZEALAND"
"1024336688","1024336703","US","USA","UNITED STATES"
"1024336704","1024336735","SG","SGP","SINGAPORE"
"1024336736","1024336767","MY","MYS","MALAYSIA"
"1024336768","1024336799","ID","IDN","INDONESIA"
"1024336800","1024336831","TH","THA","THAILAND"
"1024336832","1024336863","HK","HKG","HONG KONG"
"1024336864","1024337687","US","USA","UNITED STATES"
"1024337688","1024337711","IN","IND","INDIA"
"1024337712","1024337903","US","USA","UNITED STATES"
"1024337904","1024337919","IN","IND","INDIA"
"1024337920","1024337951","ID","IDN","INDONESIA"
"1024337952","1024337967","TH","THA","THAILAND"
"1024337968","1024337983","US","USA","UNITED STATES"
"1024337984","1024338015","HK","HKG","HONG KONG"
"1024338016","1024338047","ID","IDN","INDONESIA"
"1024338048","1024338063","US","USA","UNITED STATES"
"1024338064","1024338079","SG","SGP","SINGAPORE"
"1024338080","1024338111","ID","IDN","INDONESIA"
"1024338112","1024338415","US","USA","UNITED STATES"
"1024338416","1024338431","PH","PHL","PHILIPPINES"
"1024338432","1024338527","US","USA","UNITED STATES"
"1024338528","1024338543","KR","KOR","REPUBLIC OF KOREA"
"1024338544","1024338559","JP","JPN","JAPAN"
"1024338560","1024338591","MY","MYS","MALAYSIA"
"1024338592","1024338599","US","USA","UNITED STATES"
"1024338600","1024338607","CN","CHN","CHINA"
